app,category,app_store_id,size_mb,version,min_ios,last_updated,price_usd,measured_date
TikTok,Entertainment,835599320,936.0,46.0.0,14.0,2026-07-13,0,2026-07-15
WeChat,Social Networking,414478124,851.2,8.0.75,15.0,2026-06-14,0,2026-07-15
Gmail,Productivity,422689480,775.1,6.0.260706,18.0,2026-07-13,0,2026-07-15
Venmo,Finance,351727428,675.6,26.13.0,17.0,2026-07-09,0,2026-07-15
Instagram,Photo & Video,389801252,593.2,438.0.0,16.3,2026-07-13,0,2026-07-15
DoorDash,Food & Drink,719972451,560.2,8.27.0,18.0,2026-07-13,0,2026-07-15
PayPal,Finance,283646709,524.6,8.107.2,15.0,2026-06-11,0,2026-07-15
X,News,333903271,517.2,12.8,15.0,2026-07-11,0,2026-07-15
Duolingo,Education,570060128,508.8,7.131.0,17.0,2026-07-13,0,2026-07-15
Facebook,Social Networking,284882215,481.9,570.0.0,15.1,2026-07-14,0,2026-07-15
Google Maps,Navigation,585027354,473.9,26.28.0,16.0,2026-07-10,0,2026-07-15
Microsoft Outlook,Productivity,951937596,472.4,5.2627.0,18.0,2026-07-13,0,2026-07-15
Booking.com,Travel,367003839,459.0,67.9,17.0,2026-07-10,0,2026-07-15
Zoom,Business,546505307,457.8,7.1.0,15.0,2026-06-23,0,2026-07-15
LinkedIn,Business,288429040,450.7,9.1.556,16.6,2026-07-14,0,2026-07-15
Google Drive,Productivity,507874739,439.8,4.2628.31200,16.0,2026-07-13,0,2026-07-15
Google Photos,Photo & Video,962194608,439.5,7.83.0,18.0,2026-07-09,0,2026-07-15
Reddit,News,1064216828,426.1,2026.28.0,16.0,2026-07-13,0,2026-07-15
Uber,Travel,368677368,415.6,3.730.10000,17.0,2026-07-13,0,2026-07-15
Cash App,Finance,711923939,399.8,5.60.0,17.0,2026-07-13,0,2026-07-15
Twitch,Photo & Video,460177396,392.5,30.3,16.4,2026-07-13,0,2026-07-15
Airbnb,Travel,401626263,392.5,26.27,18.0,2026-07-02,0,2026-07-15
Snapchat,Photo & Video,447188370,383.1,14.14.0.52,15.0,2026-07-08,0,2026-07-15
Google Chrome,Utilities,535886823,382.2,150.0.7871.113,18.0,2026-07-08,0,2026-07-15
WhatsApp Messenger,Social Networking,310633997,377.1,26.27.74,15.1,2026-07-14,0,2026-07-15
YouTube,Photo & Video,544007664,370.4,21.28.3,16.0,2026-07-12,0,2026-07-15
Uber Eats,Food & Drink,1058959277,365.0,6.331.10000,17.0,2026-07-13,0,2026-07-15
Pinterest,Lifestyle,429047995,358.6,14.26,16.0,2026-07-08,0,2026-07-15
Spotify,Music,324684580,283.3,9.1.62,16.1,2026-07-07,0,2026-07-15
SoundCloud,Music,336353151,273.4,8.69.0,16.4,2026-07-14,0,2026-07-15
Amazon Shopping,Shopping,297606951,262.0,27.11.8,15.0,2026-07-09,0,2026-07-15
Messenger,Social Networking,454638411,249.7,570.0.0,15.1,2026-07-14,0,2026-07-15
Roblox,Games,431946152,243.2,2.730.790,14.0,2026-07-14,0,2026-07-15
Telegram Messenger,Social Networking,686449807,243.0,12.9,13.0,2026-07-14,0,2026-07-15
Dropbox,Productivity,327630330,236.2,482.2,17.0,2026-07-13,0,2026-07-15
Waze,Navigation,323229106,232.0,5.21.0.3,16.0,2026-07-09,0,2026-07-15
Discord,Social Networking,985746746,230.9,337.0,16.0,2026-07-13,0,2026-07-15
Threads,Social Networking,6446901002,212.3,438.0,16.3,2026-07-13,0,2026-07-15
Netflix,Entertainment,363590051,207.7,18.40.0,18.0,2026-07-13,0,2026-07-15
Shazam,Music,284993459,49.8,26.13,18.0,2026-07-02,0,2026-07-15
