font,variant,bytes,kb,pct_of_ttf
inter,ttf,876576,856.0,100.0
inter,woff,457780,447.1,52.2
inter,woff2,350960,342.7,40.0
inter,woff2-latin-subset,97292,95.0,11.1
lato,ttf,656568,641.2,100.0
lato,woff,335304,327.4,51.1
lato,woff2,211780,206.8,32.3
lato,woff2-latin-subset,39744,38.8,6.1
montserrat,ttf,744936,727.5,100.0
montserrat,woff,295412,288.5,39.7
montserrat,woff2,215740,210.7,29.0
montserrat,woff2-latin-subset,53692,52.4,7.2
opensans,ttf,532636,520.2,100.0
opensans,woff,346192,338.1,65.0
opensans,woff2,280016,273.5,52.6
opensans,woff2-latin-subset,88304,86.2,16.6
roboto,ttf,488584,477.1,100.0
roboto,woff,280272,273.7,57.4
roboto,woff2,222432,217.2,45.5
roboto,woff2-latin-subset,81068,79.2,16.6
