country_code,country,query,avg_monthly_searches,competition
US,"United States","free up iphone storage",1900,medium
US,"United States","iphone storage full",4400,medium
US,"United States","how to free up space on iphone",12100,medium
US,"United States","iphone running out of storage",210,medium
US,"United States","clear storage iphone",3600,medium
US,"United States","clear cache iphone",18100,low
US,"United States","other storage iphone",10,low
US,"United States","system data iphone",1600,low
US,"United States","delete duplicate photos",1900,medium
US,"United States","delete duplicate photos iphone",4400,medium
US,"United States","phone storage full",720,medium
US,"United States","free up space on phone",320,low
US,"United States","clean up storage",880,medium
US,"United States","best phone cleaner app",1000,medium
US,"United States","find duplicate files",590,low
IN,"India","free up iphone storage",70,low
IN,"India","iphone storage full",1300,low
IN,"India","how to free up space on iphone",1300,low
IN,"India","iphone running out of storage",20,low
IN,"India","clear storage iphone",480,low
IN,"India","clear cache iphone",2900,low
IN,"India","other storage iphone",10,
IN,"India","system data iphone",40,low
IN,"India","delete duplicate photos",880,medium
IN,"India","delete duplicate photos iphone",320,medium
IN,"India","phone storage full",590,low
IN,"India","free up space on phone",20,low
IN,"India","clean up storage",480,low
IN,"India","best phone cleaner app",390,medium
IN,"India","find duplicate files",140,low
GB,"United Kingdom","free up iphone storage",720,medium
GB,"United Kingdom","iphone storage full",1300,medium
GB,"United Kingdom","how to free up space on iphone",2900,medium
GB,"United Kingdom","iphone running out of storage",70,medium
GB,"United Kingdom","clear storage iphone",880,medium
GB,"United Kingdom","clear cache iphone",8100,low
GB,"United Kingdom","other storage iphone",10,low
GB,"United Kingdom","system data iphone",260,low
GB,"United Kingdom","delete duplicate photos",590,medium
GB,"United Kingdom","delete duplicate photos iphone",1600,medium
GB,"United Kingdom","phone storage full",260,medium
GB,"United Kingdom","free up space on phone",40,medium
GB,"United Kingdom","clean up storage",170,medium
GB,"United Kingdom","best phone cleaner app",210,high
GB,"United Kingdom","find duplicate files",210,medium
CA,"Canada","free up iphone storage",170,medium
CA,"Canada","iphone storage full",590,medium
CA,"Canada","how to free up space on iphone",1300,medium
CA,"Canada","iphone running out of storage",30,low
CA,"Canada","clear storage iphone",320,medium
CA,"Canada","clear cache iphone",2400,low
CA,"Canada","other storage iphone",10,low
CA,"Canada","system data iphone",170,low
CA,"Canada","delete duplicate photos",210,medium
CA,"Canada","delete duplicate photos iphone",480,medium
CA,"Canada","phone storage full",70,medium
CA,"Canada","free up space on phone",20,low
CA,"Canada","clean up storage",110,medium
CA,"Canada","best phone cleaner app",70,high
CA,"Canada","find duplicate files",110,low
AU,"Australia","free up iphone storage",170,medium
AU,"Australia","iphone storage full",390,medium
AU,"Australia","how to free up space on iphone",590,medium
