country_code,query,year,month,searches
US,"free up iphone storage",2025,JUNE,1300
US,"free up iphone storage",2025,JULY,1600
US,"free up iphone storage",2025,AUGUST,1900
US,"free up iphone storage",2025,SEPTEMBER,1600
US,"free up iphone storage",2025,OCTOBER,1900
US,"free up iphone storage",2025,NOVEMBER,2900
US,"free up iphone storage",2025,DECEMBER,2400
US,"free up iphone storage",2026,JANUARY,2400
US,"free up iphone storage",2026,FEBRUARY,1900
US,"free up iphone storage",2026,MARCH,1600
US,"free up iphone storage",2026,APRIL,1600
US,"free up iphone storage",2026,MAY,2400
US,"iphone storage full",2025,JUNE,3600
US,"iphone storage full",2025,JULY,4400
US,"iphone storage full",2025,AUGUST,4400
US,"iphone storage full",2025,SEPTEMBER,4400
US,"iphone storage full",2025,OCTOBER,5400
US,"iphone storage full",2025,NOVEMBER,5400
US,"iphone storage full",2025,DECEMBER,5400
US,"iphone storage full",2026,JANUARY,5400
US,"iphone storage full",2026,FEBRUARY,5400
US,"iphone storage full",2026,MARCH,4400
US,"iphone storage full",2026,APRIL,4400
US,"iphone storage full",2026,MAY,5400
US,"how to free up space on iphone",2025,JUNE,9900
US,"how to free up space on iphone",2025,JULY,9900
US,"how to free up space on iphone",2025,AUGUST,12100
US,"how to free up space on iphone",2025,SEPTEMBER,9900
US,"how to free up space on iphone",2025,OCTOBER,9900
US,"how to free up space on iphone",2025,NOVEMBER,9900
US,"how to free up space on iphone",2025,DECEMBER,14800
US,"how to free up space on iphone",2026,JANUARY,14800
US,"how to free up space on iphone",2026,FEBRUARY,12100
US,"how to free up space on iphone",2026,MARCH,12100
US,"how to free up space on iphone",2026,APRIL,9900
US,"how to free up space on iphone",2026,MAY,12100
US,"iphone running out of storage",2025,JUNE,140
US,"iphone running out of storage",2025,JULY,170
US,"iphone running out of storage",2025,AUGUST,170
US,"iphone running out of storage",2025,SEPTEMBER,210
US,"iphone running out of storage",2025,OCTOBER,210
US,"iphone running out of storage",2025,NOVEMBER,260
US,"iphone running out of storage",2025,DECEMBER,210
US,"iphone running out of storage",2026,JANUARY,260
US,"iphone running out of storage",2026,FEBRUARY,210
US,"iphone running out of storage",2026,MARCH,210
US,"iphone running out of storage",2026,APRIL,210
US,"iphone running out of storage",2026,MAY,320
US,"clear storage iphone",2025,JUNE,2900
US,"clear storage iphone",2025,JULY,2900
US,"clear storage iphone",2025,AUGUST,2900
US,"clear storage iphone",2025,SEPTEMBER,2900
US,"clear storage iphone",2025,OCTOBER,3600
US,"clear storage iphone",2025,NOVEMBER,2900
US,"clear storage iphone",2025,DECEMBER,3600
US,"clear storage iphone",2026,JANUARY,4400
US,"clear storage iphone",2026,FEBRUARY,2900
US,"clear storage iphone",2026,MARCH,3600
US,"clear storage iphone",2026,APRIL,2900
US,"clear storage iphone",2026,MAY,3600
US,"clear cache iphone",2025,JUNE,18100
US,"clear cache iphone",2025,JULY,18100
US,"clear cache iphone",2025,AUGUST,18100
US,"clear cache iphone",2025,SEPTEMBER,18100
US,"clear cache iphone",2025,OCTOBER,22200
US,"clear cache iphone",2025,NOVEMBER,22200
US,"clear cache iphone",2025,DECEMBER,22200
US,"clear cache iphone",2026,JANUARY,22200
US,"clear cache iphone",2026,FEBRUARY,18100
US,"clear cache iphone",2026,MARCH,18100
US,"clear cache iphone",2026,APRIL,18100
US,"clear cache iphone",2026,MAY,18100
US,"other storage iphone",2025,JUNE,10
US,"other storage iphone",2025,JULY,10
US,"other storage iphone",2025,AUGUST,10
US,"other storage iphone",2025,SEPTEMBER,10
US,"other storage iphone",2025,OCTOBER,10
US,"other storage iphone",2025,NOVEMBER,10
US,"other storage iphone",2025,DECEMBER,10
US,"other storage iphone",2026,JANUARY,10
US,"other storage iphone",2026,FEBRUARY,10
